Country,ISO_3,Region,EU_Member,CO2_per_capita_tons_avg,Renewable_energy_share_pct_avg,Fossil_fuel_share_pct_avg,Low_carbon_energy_share_pct_avg,Energy_per_capita_kWh_avg,Carbon_intensity_electricity_gCO2_kWh_avg,Sovereign_ESG_Score,Environmental_Pillar_Score,Social_Pillar_Score,Governance_Pillar_Score,ESG_Source,Physical_Climate_Risk_Score,Transition_Climate_Risk_Score,Climate_Vulnerability_Score,Climate_Readiness_Score,Climate_Risk_Source,EU_ETS_Carbon_Price_2022_EUR,EU_ETS_Source
Germany,DEU,Europe,Yes,8.07,19.06,76.72,23.28,42712.44,390.62,82.3,78.5,85.1,83.2,"Sovereign ESG Data Portal (World Bank, 2023)",38.2,42.5,28.4,78.6,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
France,FRA,Europe,Yes,4.55,13.09,51.6,48.4,38186.3,64.3,79.8,75.2,82.4,81.7,"Sovereign ESG Data Portal (World Bank, 2023)",42.1,40.2,30.1,75.2,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Italy,ITA,Europe,Yes,5.51,17.69,82.31,17.69,29423.86,350.61,74.1,72.8,75.3,74.2,"Sovereign ESG Data Portal (World Bank, 2023)",55.3,38.7,35.6,68.4,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Spain,ESP,Europe,Yes,4.85,20.54,70.0,30.0,32153.74,214.11,75.6,73.4,77.1,76.3,"Sovereign ESG Data Portal (World Bank, 2023)",51.8,39.1,33.2,70.1,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Netherlands,NLD,Europe,Yes,7.87,10.59,88.42,11.58,56219.99,357.62,84.1,79.8,87.2,85.3,"Sovereign ESG Data Portal (World Bank, 2023)",45.6,41.3,26.8,81.3,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Belgium,BEL,Europe,Yes,8.11,9.47,75.5,24.5,61311.49,148.58,80.2,76.5,82.8,81.3,"Sovereign ESG Data Portal (World Bank, 2023)",40.4,40.8,28.9,77.8,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Austria,AUT,Europe,Yes,7.18,35.21,64.79,35.21,45119.36,140.55,81.5,78.1,84.2,82.1,"Sovereign ESG Data Portal (World Bank, 2023)",39.7,41.2,27.5,79.1,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Sweden,SWE,Europe,Yes,3.67,49.31,28.13,71.87,59743.87,40.96,87.3,85.6,88.9,87.4,"Sovereign ESG Data Portal (World Bank, 2023)",32.5,43.1,24.1,85.2,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Denmark,DNK,Europe,Yes,5.04,36.11,63.89,36.11,33974.86,204.96,88.1,86.3,89.5,88.4,"Sovereign ESG Data Portal (World Bank, 2023)",34.1,42.8,23.5,86.4,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Finland,FIN,Europe,Yes,6.96,32.78,48.4,51.6,57837.25,141.86,86.2,84.1,87.8,86.7,"Sovereign ESG Data Portal (World Bank, 2023)",33.8,42.5,24.8,84.7,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Portugal,PRT,Europe,Yes,4.1,29.24,70.76,29.24,26190.83,246.27,76.8,74.2,78.5,77.6,"Sovereign ESG Data Portal (World Bank, 2023)",48.5,37.2,31.5,72.3,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Ireland,IRL,Europe,Yes,7.3,18.86,81.14,18.86,36441.48,321.45,79.4,74.8,82.1,81.3,"Sovereign ESG Data Portal (World Bank, 2023)",36.8,39.5,26.2,79.8,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Greece,GRC,Europe,Yes,5.57,17.06,82.94,17.06,28558.52,419.99,70.2,67.4,72.8,70.4,"Sovereign ESG Data Portal (World Bank, 2023)",56.8,36.5,37.2,66.1,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Poland,POL,Europe,Yes,8.28,7.84,92.16,7.84,31005.16,749.7,68.2,65.1,71.3,68.2,"Sovereign ESG Data Portal (World Bank, 2023)",44.3,52.5,34.8,65.2,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Czech Republic,CZE,Europe,Yes,,,,,,,71.5,68.2,74.1,72.2,"Sovereign ESG Data Portal (World Bank, 2023)",42.8,48.3,32.5,68.7,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Hungary,HUN,Europe,Yes,4.88,7.28,78.2,21.8,28172.11,247.72,69.8,66.5,72.4,70.5,"Sovereign ESG Data Portal (World Bank, 2023)",,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Romania,ROU,Europe,Yes,3.9,17.84,74.67,25.33,19446.89,298.64,67.3,64.8,69.5,67.6,"Sovereign ESG Data Portal (World Bank, 2023)",,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Norway,NOR,Europe,No,7.69,69.66,30.34,69.66,100735.02,30.11,85.6,83.4,87.1,86.3,"Sovereign ESG Data Portal (World Bank, 2023)",31.4,44.2,22.6,87.1,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Switzerland,CHE,Europe,No,4.03,34.13,47.49,52.51,35537.47,36.93,84.7,80.1,87.3,86.7,"Sovereign ESG Data Portal (World Bank, 2023)",37.5,42.1,25.4,82.3,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
